"","Search","Program","Date","Title","Company","Location","Description"
"94","data analyst","MSBA","2022-08-31","ETL Engineer / Data Analyst","Yoh, A Day & Zimmermann Company","Remote in Orem, UT","Our globally recognized end client is in need of an ETL Engineer / Data Analyst for a 9 month CONTRACT opportunity. Role is 100% REMOTE, work is done in EST, shift and hours are flexible w/ 7 or 8 AM Start, M-F, and weekends off. Position pays a max of $48/hr W2. * *** All Applicants should have location clearly listed on resume. Applicants can be in ANY tim..."
"95","data analyst","MSBA","2022-08-30","Data Analyst","Aston Carter","Draper, UT 84020","Equivalent Experience *Description:* Performs complex data analysis in support of ad-hoc and standing management or customer requests. Develops programs, methodologies, and files for analyzing and presenting data. Uses and supports database applications and analytical tools. Evaluates data quality, applications, and functions. Produces output and maintains o..."
"96","data architect","MSIS","2022-08-30","Data Governance Analyst","Intermountain Healthcare","Remote in West Valley City, UT","* Job Description: The Data Governance Analyst is responsible for the execution and support of data governance activities to drive adoption of best data governance principles within Intermountain Healthcare. * * Position is remote, however, Currently we are unable to consider candidates for remote opportunities in the following states: California, Hawaii, Ma..."
"97","data analyst","MSBA","2022-08-30","Data Governance Analyst","Intermountain Healthcare","Remote in West Valley City, UT","* Job Description: The Data Governance Analyst is responsible for the execution and support of data governance activities to drive adoption of best data governance principles within Intermountain Healthcare. * * Position is remote, however, Currently we are unable to consider candidates for remote opportunities in the following states: California, Hawaii, Ma..."
"98","data analyst","MSBA","2022-08-30","Data Analyst - LM","Sunrise Biztech Systems Private Limited","Salt Lake City, UT 84120","Contract: 3+ monthsJob location: Salt Lake City, UT 84120*Job description: *Analyzing and presenting data.* Performs complex data analysis.* Uses and supports database applications and analytical tools.* Evaluates data quality, applications, and functions.* Develops appropriate methodologies for collecting, analyzing, and presenting data products.* Develops ..."
"99","database administrator","MSIS","2022-08-30","Marking & Sales Database Administrator","The Grand America Hotel","Remote in Salt Lake City, UT 84111","* Marketing & Sales Database Administrator *  The Database Administrator (DBA) will be responsible for maintaining and optimizing the framework for how the organization captures and stores data for Marketing and Sales. The Database Administrator will handle data for all Grand America Hotels & Resorts properties, including POS, customer, and Group Sales data...."
"100","security architect","MSCM","2022-08-29","Associate Director, Cloud Security Architect","KPMG","Salt Lake City, UT 84101 (Downtown area)","* Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative exc..."
"101","network security engineer","MSCM","2022-08-28","Senior Network Security Engineer","Adobe","Lehi, UT 84043","* *  Our Company*   Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies intera..."
"102","data architect","MSIS","2022-08-28","Sr. Salesforce Engineer","MX Technologies Inc.","Remote in Lehi, UT 84043","* *  *   Life at MX*    We are driven by our moral imperative to advance mankind - and it all starts with our people, product and purpose. We always carry a deep sense of drive and passion with us. If you thrive in a challenging work environment, surrounded by incredible team members who will help you grow, MX is the right place for you.*    Come build with ..."
"103","data analyst","MSBA","2022-08-28","Data Analyst - Credit Examination - Hybrid","Zions Bancorporation","Midvale, UT 84047","Zions Bancorporation is one of the nation’s premier financial services companies operating as a collection of great banks under local brands and management teams in high-growth western markets. Zions is regularly recognized by American Banker as one of the “Best Banks to Work For” and as having a top banking team in its list of “The Most Powerful Women in Ba..."
"104","security analyst","MSCM","2022-08-27","Global Security Operations Center (GSOC) Cyber Security Lead...","Deloitte","Hybrid remote in Salt Lake City, UT 84111","* Do you thrive on developing creative and innovative insights to solve complex challenges? Want to work on next-generation, cutting-edge products and services that deliver outstanding value and that are global in vision and scope? Work with premiere thought leaders in your field? Work for a world-class organization that provides an exceptional career experi..."
"105","security analyst","MSCM","2022-08-27","Global Security Operations Center (GSOC) Senior Cyber Securi...","Deloitte","Hybrid remote in Salt Lake City, UT 84111","* Do you thrive on developing creative and innovative insights to solve complex challenges? Want to work on next-generation, cutting-edge products and services that deliver outstanding value and that are global in vision and scope? Work with other experts in your field? Work for a world-class organization that provides an exceptional career experience with a..."
"106","data engineer","MSIS","2022-08-27","Sr Cloud Data Engineer","Deloitte","Salt Lake City, UT 84111 (Downtown area)","* Sr. Cloud Data Engineer*  At Human Experiences (Hux) by Deloitte Digital, we aim at delivering elevated human experience by re-inventing digital advertising & marketing, powered by data, AI/ML and content. Hux is a proprietary product suite of Deloitte assets and accelerators that work in cohort with leading cloud and software technologies, that enables ou..."
"107","data scientist","MSBA","2022-08-27","Sr Cloud Data Engineer","Deloitte","Salt Lake City, UT 84111 (Downtown area)","* Sr. Cloud Data Engineer*  At Human Experiences (Hux) by Deloitte Digital, we aim at delivering elevated human experience by re-inventing digital advertising & marketing, powered by data, AI/ML and content. Hux is a proprietary product suite of Deloitte assets and accelerators that work in cohort with leading cloud and software technologies, that enables ou..."
"108","data analyst","MSBA","2022-08-27","Marketing Data Analyst","Elite Manufacturing & Packaging","American Fork, UT 84003","We are looking for a Data Marketing strategist to work in our Marketplaces department. You’ll be responsible for helping to launching new products, analyzing ad performance, and tracking product sales. You'll be working with Amazon, Walmart, eBay and other online marketplaces. This job entails a variety of tasks, including data analysis and market research. ..."
"109","data engineer","MSIS","2022-08-27","Data Engineer","Merkle, Inc.","Salt Lake City, UT 84101 (Downtown area)","* *  Company Description: *  *   Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specializes in the delivery of unique, personalized customer experiences across platforms and devices. For more than 30 years, Fortune 1000 companies and leading nonprofit organizations have partnered with Merkle to maximize the valu..."
"110","data scientist","MSBA","2022-08-27","Data Scientist","Northrop Grumman","Clearfield, UT","* Requisition ID: R10064102 * Category: Research and Sciences *  Location: Clearfield, Utah, United States of America *  Citizenship Required: United States Citizenship *  Clearance Type: Secret *  Telecommute: No- Teleworking not available for this position *  Shift: 1st Shift (United States of America) *  Travel Required: Yes, 10% of the Time *  Positions ..."
"111","data architect","MSIS","2022-08-27","Data Architect (SLC)","PDQ","Salt Lake City, UT 84121","* *  PDQ, founded in Salt Lake City, UT, makes device management simple, secure, and *  Pretty *  Damn *  Quick. IT teams use our products to reduce complexity, improve efficiency, and enhance control in their unique environments. We are backed by TA Associates, a top-tier global PE fund. SimpleMDM and SmartDeploy are powered by PDQ.com.*  * * *  PDQ’s Busin..."
"112","data analyst","MSBA","2022-08-27","Data Analyst - LM","Sunrise Biztech Systems Private Limited","Salt Lake City, UT 84120","Contract: 3+ monthsJob location: Salt Lake City, UT 84120*Job description: *Performs complex data analysis. Analyzing and presenting data.* Uses and supports database applications and analytical tools.* Evaluates data quality, applications, and functions.* Provides accurate and appropriate interpretation of data, applying knowledge to evaluation, analysis, a..."
"113","data engineer","MSIS","2022-08-27","IT Data Engineer III","Swire Coca-Cola","Draper, UT","What does a Data Engineer III do at Swire Coca-Cola?*As part of Swire’s Enterprise Data Warehouse Team, the Data Engineer will help business users and analysts throughout the organization access the data they need to operate and grow the business. The Data Engineer will work with end users and IT staff to gather requirements, build and maintain secure, compl..."
"114","data analyst","MSBA","2022-08-27","Strategy Analyst","University of Utah","Salt Lake City, UT 84112 (East Bench area)","* *  Announcement *  *   *    *     Details *    *    *    *     *      *       *        Open Date*        *      *      *      *       *        Requisition Number*        *       *        PRN32061B*        *      *      *       *        Job Title*        *       *        Business Data Analyst*        *      *      *       *        Working Title*        *   ..."
"115","data analyst","MSBA","2022-08-26","Data Analyst","Brigham Young University","Provo, UT 84602 (University area)","* PLEASE READ BEFORE APPLYING*  If, as a student or non-student, you have worked over 1,000 hours or received benefits through DMBA due to employment with any of The Church of Jesus Christ of Latter-day Saints entities, you are NOT ELIGIBLE to apply for 1/2-time (17.5 hours) positions. For information or help, please contact 801-422-3563.*  Essential Functio..."
"116","data analyst","MSBA","2022-08-26","Sr. Data Analyst, Account Acquisition Strategy","CardWorks","South Jordan, UT 84095","Merrick Bank employees share in our mission to delight our customers and empower underserved consumers to achieve their credit goals. In return, we delight our associates; ensuring they are noticed, heard, appreciated and understand the importance of their role(s). For over 20 years, our Guiding Principles of; doing the right thing, putting the customer firs..."
"117","data engineer","MSIS","2022-08-26","Senior Data Engineer","Cricut","South Jordan, UT","* Company Description*  Cricut® makes smart cutting machines that work with an easy-to-use app, an ever-growing collection of materials, and crafting essentials to help you design and personalize almost anything — custom cards, unique apparel, everyday items, and so much more.*  Overview*  We believe everyone is born creative. We’re a diverse tapestry of thi..."
"118","data architect","MSIS","2022-08-26","Remote - Cloud Database Architect","First American","Remote in Salt Lake City, UT 84111","* Company Summary* *  Join a team that puts its People First! Since 1889, First American (NYSE: FAF) has held an unwavering belief in its people. They are passionate about what they do, and we are equally passionate about fostering an environment where all feel welcome, supported, and empowered to be innovative and reach their full potential. Our inclusive, ..."
"119","data scientist","MSBA","2022-08-26","Remote Senior Data Scientist NLP","First American","Remote in Salt Lake City, UT 84111","* Company Summary* *  Join a team that puts its People First! As a member of First American’s family of companies, Data & Analytics is a national provider of property-centric information, analytics, risk management and valuation solutions. First American maintains and curates the industry’s largest property and ownership dataset with over 7 billion document ..."
"120","security architect","MSCM","2022-08-26","Security Architect","Idaho Scientific","Salt Lake City, UT 84102 (Greater Avenues area)","Life is Short. Solve Hard Problems with Cool People. *Idaho Scientific is the Goldilocks of technology firms, combining the spirit of growth of a startup, with a financial footing and safety of a stable corporation. The perks of working at Idaho Scientific include all the benefits you'd expect from an employer who prioritizes a balanced human experience:*Com..."
"121","data analyst","MSBA","2022-08-26","Service Management Data Analyst - Staff/Senior","Intermountain Healthcare","West Valley City, UT","* Job Description: The Service Management position oversees, facilitates, and administers ITIL (Information Technology Infrastructure Library) based service support processes for Intermountain Healthcare. ITIL processes include service strategy, design, transition, operations and continual service improvement activities. This professional is experienced in a..."
"122","cloud engineer","MSIS","2022-08-26","Cloud Engineer","LoanPro","Hybrid remote in Farmington, UT 84025","* We are currently filling roles for onsite positions in Farmington, Utah - this is a hybrid position* *  LoanPro is a Fintech SaaS company, providing core lending infrastructure (software and cloud configuration) to mid-market and large lenders. Our superior product enables clients to be more efficient, organized, and streamlined in the lending business. Lo..."
"123","data architect","MSIS","2022-08-26","ETL Developer/Data Architect","Mountain America Credit Union","Salt Lake City, UT 84103 (Greater Avenues area)","* *  ESSENTIAL DUTIES AND RESPONSIBILITIES*   To be effective, an individual must be able to perform each job duty successfully.*   Collaborate directly and effectively with data analysts, Business Intelligence analysts, business users and stakeholders to gather and fulfil business decision-making and strategic requirements*    Design and build efficient, sc..."
"124","data engineer","MSIS","2022-08-26","Sr. Data Engineer (FT)","Nav","Draper, UT","* *  Sr. Data Engineer - Remote*   Nav is democratizing small business financing. In other words, we give small business owners access and control. Yes, this challenges the norm, but it means working with curious, purpose-driven, dedicated, and inquisitively smart people who push themselves, our company and the community to the next level (and every level af..."
"125","data analyst","MSBA","2022-08-26","Data Analyst - LM","Sunrise Biztech Systems Private Limited","Salt Lake City, UT 84120","Contract: 3+ months*Job description: *Performs complex data analysis. Analyzing and presenting data.* Uses and supports database applications and analytical tools.* Evaluates data quality, applications, and functions.* Provides accurate and appropriate interpretation of data, applying knowledge to evaluation, analysis, and interpretation of data.* Develops a..."
"126","data engineer","MSIS","2022-08-26","IT Data Engineer III","Swire Coca-Cola USA","Draper, UT","What does a Data Engineer III do at Swire Coca-Cola?*As part of Swire’s Enterprise Data Warehouse Team, the Data Engineer will help business users and analysts throughout the organization access the data they need to operate and grow the business. The Data Engineer will work with end users and IT staff to gather requirements, build and maintain secure, compl..."
"127","data engineer","MSIS","2022-08-26","Data Engineer & Cloud Services","Unify Consulting","Remote in Salt Lake City, UT","* *  We’re not like others, and neither are you. Unify Consulting is a collective of genuine, curious, seasoned consultants who unlock potential and deliver with purpose and excellence. We unify daring leaders to better the world and are always seeking co-creators, community-builders and truth-tellers who strive to multiply our positive impact.* * * *   Our ..."
"128","data analyst","MSBA","2022-08-25","Data Entry Analyst (Contract)","DigiCert","Remote in Lehi, UT 84043","* *  ABOUT DIGICERT *   We're a leading, global security authority that's disrupting our own category. Our encryption is trusted by the major ecommerce brands, the world's largest companies, the major cloud providers, entire country financial systems, entire internets of things and even down to little things like surgically embedded pacemakers. We help compa..."
"129","data analyst","MSBA","2022-08-25","Data Entry Analyst (Contract)","DigiCert, Inc.","Lehi, UT 84043","at DigiCert *Lehi * ABOUT DIGICERT * We’re a leading, global security authority that’s disrupting our own category. Our encryption is trusted by the major ecommerce brands, the world’s largest companies, the major cloud providers, entire country financial systems, entire internets of things and even down to little things like surgically embedded pacemakers. ..."
"130","cybersecurity analyst","MSCM","2022-08-25","Senior, Cybersecurity Analyst","Fidelity Investments","Temporarily Remote in Salt Lake City, UT 84104","* *  Job Description:*  *   The ITSM Analyst is responsible for the execution of ITSM processes in accordance with Fidelity Investments’ Incident, Problem, Change and Release Management process guidelines. The Analyst ensures that standardized methods and procedures are used for efficient and timely handling of all production ITSM activities to improve servi..."
"131","security analyst","MSCM","2022-08-25","Senior, Cybersecurity Analyst","Fidelity Investments","Temporarily Remote in Salt Lake City, UT 84104","* *  Job Description:*  *   The ITSM Analyst is responsible for the execution of ITSM processes in accordance with Fidelity Investments’ Incident, Problem, Change and Release Management process guidelines. The Analyst ensures that standardized methods and procedures are used for efficient and timely handling of all production ITSM activities to improve servi..."
"132","data engineer","MSIS","2022-08-25","Senior Data Engineer","Fidelity Investments","Temporarily Remote in Salt Lake City, UT 84104","* *  Job Description:*  *   Data Engineer*   Fidelity Investments is looking for a Sr Data Engineer to join the ETGS Software Engineering Chapter team supporting Enterprise Cybersecurity (ECS) business unit. The ECS organization is responsible for delivering appropriate security solutions to ensure enterprise resources are protected in a constantly evolving ..."
"133","cybersecurity analyst","MSCM","2022-08-25","Cybersecurity Analyst, Journeyman","HX5, LLC","South Ogden, UT","* *  Cybersecurity Analyst, Journeyman Cybersecurity Analyst, Journeyman Hill AFB Ogden,UT *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing veteran- and woman-owned company with locations nationwide. *   HX5 is se..."
"134","security analyst","MSCM","2022-08-25","Cybersecurity Analyst, Journeyman","HX5, LLC","South Ogden, UT","* *  Cybersecurity Analyst, Journeyman Cybersecurity Analyst, Journeyman Hill AFB Ogden,UT *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing veteran- and woman-owned company with locations nationwide. *   HX5 is se..."
"135","data analyst","MSBA","2022-08-25","Data Analyst III","Intelliswift Software Inc","Salt Lake City, UT","* *  Data Analyst*  5+ Mnoth Contract*  Salt lake City, UT*  Day to Day Responsibilities of this Position and Description of Project:*   Performs complex data analysis in support of ad-hoc and standing management or customer requests. Develops programs, methodologies, and files for analyzing and presenting data.*   Uses and supports database applications and..."
"136","data engineer","MSIS","2022-08-25","Data Engineer","Kenect","Pleasant Grove, UT","* Kenect is based in the “Silicon Slopes” of Utah. Our goal is to Kenect businesses with consumers through our state-of-the-art business texting platform. * We work very hard to make text messaging the primary communication tool for any business across the U.S. and Canada. Texting is the way the consumer wants to do business. It's time for businesses to embr..."
"137","cloud engineer","MSIS","2022-08-25","Cloud Engineer","Kodiak Cakes","Park City, UT","* *  Who are we? *   Kodiak Cakes is a fast-growing natural food company located in the scenic Rocky Mountains of Park City, Utah. Our journey with food began by restoring the tradition of whole grain flapjacks from the American frontier. In the process, we discovered that foods made closer to nature are not only more wholesome but taste better and are packe..."
"138","cybersecurity analyst","MSCM","2022-08-25","Cybersecurity Analyst","Leidos","Hill AFB, UT 84056","* Description * * Job Description:*  Are you ready to join an impactful company? Leidos is a Fortune 500® technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, civil, and health markets.*  Leidos has a current job opportunity for a Cybersecurity Analyst at Hill AFB, U..."
"139","security analyst","MSCM","2022-08-25","Cybersecurity Analyst","Leidos","Hill AFB, UT 84056","* Description * * Job Description:*  Are you ready to join an impactful company? Leidos is a Fortune 500® technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, civil, and health markets.*  Leidos has a current job opportunity for a Cybersecurity Analyst at Hill AFB, U..."
"140","data architect","MSIS","2022-08-25","ETL Developer/Data Architect","Mountain America Credit Union","Salt Lake City, UT","* *  ESSENTIAL DUTIES AND RESPONSIBILITIES*   To be effective, an individual must be able to perform each job duty successfully.*   Collaborate directly and effectively with data analysts, Business Intelligence analysts, business users and stakeholders to gather and fulfil business decision-making and strategic requirements*    Design and build efficient, sc..."
"141","data engineer","MSIS","2022-08-25","Sr. Data Engineer (FT)","Nav","Draper, UT+1 location","* *  Sr. Data Engineer - Remote*   Nav is democratizing small business financing. In other words, we give small business owners access and control. Yes, this challenges the norm, but it means working with curious, purpose-driven, dedicated, and inquisitively smart people who push themselves, our company and the community to the next level (and every level af..."
"142","data analyst","MSBA","2022-08-25","Data Analyst","Paychex","Salt Lake City, UT","* The Data Analyst will provide the department with reliable data from trusted source systems that will empower and influence key decision making. The incumbent will suggest improvements to processes. The incumbent will initiate queries on the database using different manipulations to obtain the information needed. Much of the data this position works with i..."
"143","security analyst","MSCM","2022-08-25","Associate Security Analyst","SecurityMetrics","Orem, UT 84057","Work as an associate security analyst and consultant to understand, evaluate and compare a company’s data security posture to documented security standards. Often this is done by validating compliance to security requirements provided by various governing bodies (i.e. - Payment Card Industry, HIPAA, CIS Controls, etc.).*The job consists of working with a sen..."
"144","cybersecurity consultant","MSCM","2022-08-24","Cybersecurity Consultant","AT&T","Salt Lake City, UT","* *  Consultant Professional Services 3 ATC*   The Governance, Risk and Compliance Security services of AT&T Consulting Solutions is looking for qualified persons to join its team of world-class security and information risk management professionals. This position will be focused on providing guidance around security and privacy regulatory and industry stand..."
"145","security consultant","MSCM","2022-08-24","Cybersecurity Consultant","AT&T","Salt Lake City, UT","* *  Consultant Professional Services 3 ATC*   The Governance, Risk and Compliance Security services of AT&T Consulting Solutions is looking for qualified persons to join its team of world-class security and information risk management professionals. This position will be focused on providing guidance around security and privacy regulatory and industry stand..."
"146","data analyst","MSBA","2022-08-24","Senior Data Analyst","Cox Automotive","Remote in Draper, UT","* Cox Automotive is currently looking for a Senior Data Analyst to join our team in Atlanta or remote. * Your Role: * The role of Sr. Data Analyst is a blend of tech-savvy data wrangler, critical thinker, and creative resolution guru . You will be a part of a highly analytic team within Sales Strategy and contribute to the quantitative analysis of the organi..."
"147","data scientist","MSBA","2022-08-24","Data Science Manager - Research and Productization of ML/AI...","Deloitte","Salt Lake City, UT 84111 (Downtown area)","* Data Science Manager - Research and Productization of ML/AI & Analytic Automation capabilities*  Deloitte Digital's Experience Management team combines software and services to help clients improve their data management and decisioning, delivering high value intelligence in real-time to every marketing and advertising channel.*  We're looking for a thought..."
"148","data engineer","MSIS","2022-08-24","Senior Data Warehouse Engineer","Fashionphile","Remote in Lehi, UT 84043","* FASHIONPHILE is more than just fashion — we’re revolutionizing the ultra-luxury fashion experience in order to create a sustainable alternative that extends the life cycle of products and makes them more accessible to a diverse customer base. As we strive to become the world's most sought-after brand in luxury re-commerce, we know it's our team members who..."
"149","data warehouse engineer","MSIS","2022-08-24","Senior Data Warehouse Engineer","Fashionphile","Remote in Lehi, UT 84043","* FASHIONPHILE is more than just fashion — we’re revolutionizing the ultra-luxury fashion experience in order to create a sustainable alternative that extends the life cycle of products and makes them more accessible to a diverse customer base. As we strive to become the world's most sought-after brand in luxury re-commerce, we know it's our team members who..."
"150","database administrator","MSIS","2022-08-24","Associate Database Administrator","Global Payments","Salt Lake City, UT","* Every day, Global Payments makes it possible for millions of people to move money between buyers and sellers using our payments solutions for credit, debit, prepaid and merchant services. Our worldwide team helps over 3 million companies, more than 1,300 financial institutions and over 600 million cardholders grow with confidence and achieve amazing result..."
"151","cybersecurity analyst","MSCM","2022-08-24","Cybersecurity Analyst, Journeyman","HX5, LLC","South Ogden, UT","* *  Cybersecurity Analyst, Journeyman Cybersecurity Analyst, Journeyman Hill AFB Ogden,UT *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing veteran- and woman-owned company with locations nationwide. *   HX5 is se..."
"152","cybersecurity analyst","MSCM","2022-08-24","Senior Cyber Security Analyst","HX5, LLC","South Ogden, UT","* *  Senior Cybersecurity Analyst Cybersecurity Manager, Senior Hill AFB Ogden,UT *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing veteran- and woman-owned company with locations nationwide. *   HX5 is seeking a q..."
"153","security analyst","MSCM","2022-08-24","Cybersecurity Analyst, Journeyman","HX5, LLC","South Ogden, UT","* *  Cybersecurity Analyst, Journeyman Cybersecurity Analyst, Journeyman Hill AFB Ogden,UT *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing veteran- and woman-owned company with locations nationwide. *   HX5 is se..."
"154","security analyst","MSCM","2022-08-24","Senior Cyber Security Analyst","HX5, LLC","South Ogden, UT","* *  Senior Cybersecurity Analyst Cybersecurity Manager, Senior Hill AFB Ogden,UT *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing veteran- and woman-owned company with locations nationwide. *   HX5 is seeking a q..."
"155","data architect","MSIS","2022-08-24","Data Architect","MasterControl","Remote in Salt Lake City, UT 84121","* Summary *  As a member of the architecture team, you will be working across the product team including product management, data science/ML, and various engineering teams. You will design processes and drive decisions related to data architecture across several product lines. You will provide guidance to the MLOps team, and consult on tools and products we ..."
"156","data engineer","MSIS","2022-08-24","Data Engineer","Merkle","Salt Lake City, UT 84103 (Greater Avenues area)","* Company Description*  Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specializes in the delivery of unique, personalized customer experiences across platforms and devices. For more than 30 years, Fortune 1000 companies and leading nonprofit organizations have partnered with Merkle to maximize the value of thei..."
"157","data scientist","MSBA","2022-08-24","Senior Learning Data Scientist","Pearson","Salt Lake City, UT 84190","* Who we are: * Our purpose is to add life to a lifetime of learning. We have more than 20,000 employees that deliver our products and services in nearly 200 countries, all working towards a common purpose – to help everyone achieve their potential through learning. We do that by providing high quality, digital content and learning experiences, as well as as..."
"158","security analyst","MSCM","2022-08-24","Associate Security AnalystWork as an associate security anal...","SecurityMetrics","Orem, UT 84057","Associate Security AnalystWork as an associate security analyst and consultant to understand, evaluate and compare a company’s data security posture to documented security standards. Often this is done by validating compliance to security requirements pr*Work as an associate security analyst and consultant to understand, evaluate and compare a company’s data..."
"159","data analyst","MSBA","2022-08-24","Data Analyst Trainee","T.D. Williamson, Inc.","Salt Lake City, UT","* *  At TDW we put people first - that means working everyday to ensure the pipelines that run through our communities are operating safely and reliably. What sets us apart is our expertise, experience and commitment.* * * *   Each day we dedicate ourselves to treating each other, our customers and our community with care and respect.* * * *   Overview* * * ..."
"160","cloud engineer","MSIS","2022-08-24","Cloud Engineer","TEKsystems","Riverton, UT 84065","Equivalent Experience ** Description:*  A Cloud Engineer 4 is a specialist level professional role responsible for cloud systems, on-prem infrastructure and services needed to*  bridge cloud and on-prem architecture. Cloud Engineers are involved in the Prepare and Commit phase as they help the solution team*  identify viable designs and products. The positio..."
"161","data analyst","MSBA","2022-08-24","Senior Research Analyst","University of Utah","Salt Lake City, UT 84112 (East Bench area)","* *  Announcement *  *   *    *     Details *    *    *    *     *      *       *        Open Date*        *       *        08/23/2022*        *      *      *       *        Requisition Number*        *       *        PRN31384B*        *      *      *       *        Job Title*        *       *        Sr Research Analyst*        *      *      *       *       ..."
"162","data analyst","MSBA","2022-08-23","Data Analyst- Product","CHG Healthcare","Midvale, UT 84047","* Healthcareâs helping hand.: *  CHG shook things up in 1979 by inventing the locum tenens staffing model. We connect doctors with patients who need their care. As the largest physician staffing firm in America, our providers treat millions of patients each year. * Our industry is growing and demand is high. This means you’ll have plenty of opportunities to ..."
"163","data architect","MSIS","2022-08-23","Salesforce Solution Architect","Cloudsquare","Remote in North Salt Lake, UT 84054","About Cloudsquare*Cloudsquare is a revolutionary Salesforce consulting and product development firm dedicated to becoming long-term partners with our clients by supporting them through their technology and business transformations. Founded in 2018, Cloudsquare is a fully remote organization celebrating a global culture of collaboration spanning over three co..."
"164","data analyst","MSBA","2022-08-23","Data Analyst","Credit Corp Solutions","Draper, UT 84020","The Role and the Team*The Workflow team is a core business support function, who are responsible for the data interactions between our business and our clients. Across the team, this includes managing client relationships and vendors, supporting business systems used by internal users, the data, reporting, and ETL process, and large volume data and document ..."
"165","information security manager","MSCM","2022-08-23","Information System Security Manager, SME","HX5, LLC","South Ogden, UT","* *  Information System Security Manager, (SME) Hill Air Force Base, Utah Ogden, Utah *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing, veteran- and woman-owned company with locations nationwide. *   HX5 is curren..."
"166","data scientist","MSBA","2022-08-23","Associate Data Scientist","InMoment","South Jordan, UT 84095","* ASSOCIATE DATA SCIENTIST* *  YOUR OPPORTUNITY *  You could be our next Associate Data Scientist! We are looking for a top-notch solution designer to support our product, sales, leadership and marketing teams with insights gained from analyzing company data. If you are adept at using large data sets to find opportunities for product and process optimization..."
"167","cloud engineer","MSIS","2022-08-23","REMOTE Sr. AWS DevOps Engineer","Insight Global","Remote in Salt Lake City, UT 84107","* JOB DESCRIPTION*  Day to day:  One of our largest education clients in the Salt Lake City, Utah area is looking for a Sr. AWS Cloud Engineer to join their finance team. This individual will be integral to maintaining and building the most important core systems. This Individuals primary responsibilities are to enhance the University's systems and services,..."
"168","penetration tester","MSCM","2022-08-23","Senior Web Penetration Tester","Pearson","Salt Lake City, UT 84190","* As a web application penetration tester, you will be executing a penetration testing program for Pearson VUE applications and systems. This will include thick-client applications, web applications, SOAP and REST API integrations running on either cloud or on-prem infrastructure. In this role, you will build the tool suite, schedule, and carry out penetrati..."
"169","data architect","MSIS","2022-08-21","Director of Marketing Technology - Remote within the US or i...","Nav","Remote in Draper, UT","* Director of Marketing Technology*  *  Nav is democratizing small business financing. In other words, we give small business owners access and control. Yes, this challenges the norm, but it means working with curious, purpose driven, dedicated, and inquisitively smart people who push themselves, our company and the community to the next level (and every lev..."
"170","data architect","MSIS","2022-08-21","Data Architect","Rio Tinto","Salt Lake City, UT 84101 (People's Freeway area)","* Data Architect | Exploration*  Join our global leading business offering outstanding personal development & global career opportunities*   Be part of a massive step change in how we define data*   Based in Perth or Brisbane / Vancouver, Santiago, Lima or Salt Lake City / Reading UK*  All progress begins with pioneers. At Rio Tinto, it begins with you.*  We..."
"171","data scientist","MSBA","2022-08-21","Data Scientist","skiltrek","Remote in Salt Lake City, UT 84111","Scope of Work Contracted Developer - Newborn Screening Data Scientist In newborn screening (NBS), tandem mass spectroscopy (MS/MS) is used to screen for inherited metabolic disorders (IMD) by measuring endogenous analytes in dried blood spots. While NBS laboratories test for many of the same disorders, each laboratory uses a different methodology in the extr..."
"172","data analyst","MSBA","2022-08-20","Senior Business Performance Data Analyst - Remote","Ancestry","Remote in Lehi, UT","* About Ancestry:*  When you join Ancestry, you join a human-centered company where every person’s story is important. We believe that by discovering the struggles and triumphs of our past, we can foster deeper bonds and more meaningful connections among families and communities. Our talented team of scientists, engineers, genealogists, historians, and story..."
"173","data engineer","MSIS","2022-08-20","Software Engineer I, II or III - Data Engineer","BioFire Diagnostics, LLC","Salt Lake City, UT 84108 (East Bench area)","* Description * bioMérieux is a fast growing and profitable biotech company with a great opportunity for a Software Engineer that is interest in data engineering and software development. This engineer will be joining a team of DevOps engineers to support the research and development at bioMérieux. The candidate will be responsible for:*  Working with our Da..."
